District/Neighborhood,Requesting Business,Rack Address,Application Date,Approved?,Approval Date?,Built?,Number of Racks Proposed,Number of Racks Built,Current State,Notes/Images,,,,,,,
D3/University City,SEPTA,"3001 Market St,Philadelphia, Pennsylvania, 19104",6/4/2018,FALSE,,FALSE,6,0,Never Built,Bike racks removed! Not Built! ,,,,,,,
D8/Chestnut HIll,Fire Department,"101 W Highland Ave, Philadelphia, PA 19118",3/15/2018,FALSE,,TRUE,4,4,Operational,"All built, not sure if they get used much, but nice to see the fire dep. do good bike stuff",,,,,,,
D1/Center City,SEPTA,"500 Market St, Philadelphia, PA, 19106",2/5/2018,FALSE,,TRUE,9,9,Operational,"All built, plans show 90 deg but got built at 45 degree to curb",,,,,,,
D5/North Philadelphia,PHILAbundance,"2224 N 10th St, Philadelphia, PA, 19133",10/5/2018,FALSE,,TRUE,1,1,Missing,"Built, lasted 2 years, removed at some point, but theres indego there now",,,,,,,
D7/Kensington,Esperanza health Center,"3222 H Street,  Philadelphia, PA 19134",11/8/2018,FALSE,,TRUE,14,7,Operational,"14 proposed, 7 built, 5 remaining, looking good!",,,,,,,
D3/University City,Chestnut Hall Aparments,"3900 Chestnut, Philadelphia, PA 19104",1/31/2018,FALSE,,FALSE,5,0,Never Built,"proposed bumpout, with bike coral, never approved probably",,,,,,,
D4/Manayunk,Union Tap House,"4801 Umbria St, Philadelphia, PA 19127",8/10/18,FALSE,,FALSE,1,0,Never Built,Probably not approved,,,,,,,
D4/West Philadelphia,New Market West,"5901 Market St, Philadelphia, PA 19139",9/6/2018,FALSE,,FALSE,15,0,Never Built,"not sure why not approved, maybe scrapped for cost",,,,,,,
D8,Germantown Boys and Girls Club,"23 W Penn St, Philadelphia, PA 19144",11/6/2019,FALSE,,TRUE,4,4,Operational,Inverted U staple,,,,,,,
D3,Venture Lab,"115 S 40th St, Philadelphia, PA 19104",2/6/2019,FALSE,,TRUE,4,4,Operational,Inverted U staple,,,,,,,
D5,"SGD Girard II, LLC","416 W Girard Ave, Philadelphia, PA 19123",10/23/19,FALSE,,FALSE,3,0,Unknown,Latest street view 09/2019. Cross street view from 09/2021 shows building in progress,,,,,,,
D1,Richard Young,"1101 S 9th St, Philadelphia, PA 19147",12/12/2019,FALSE,,FALSE,5,0,Unknown,Street view construciton as of 03/2023,,,,,,,
D1,"US Capital Investments 3, LLC","1102 Germantown Ave, Philadelphia, PA 19123",1/28/2019,FALSE,,FALSE,8,0,Unknown,Street view construciton as of 03/2023,,,,,,,
D1,"Northern Liberties Devlopment, LP","1104 N Hancock St, Philadelphia, PA 19123",8/22/2019,FALSE,,FALSE,10,0,Unknown,Street view construciton as of 07/2022,,,,,,,
D5,Orens Brothers Real Estate Inc,"1314 N Broad St, Philadelphia, PA 19121",9/13/19,FALSE,,FALSE,3,0,Never Built,,,,,,,,
D5,Laborers’ District Council Education and Training Fund,"1333 N Broad St, Philadelphia, PA 19122",3/11/2019,FALSE,,FALSE,3,0,Never Built,,,,,,,,
D2,James C. Campbell,"1609 South St, Philadelphia, PA 19146",5/8/2019,FALSE,,TRUE,2,2,Operational,Inverted U staple,,,,,,,
D5,Denise Collins,"2100 Hamilton St, Philadelphia, PA 19130",9/14/2018,FALSE,,FALSE,6,0,Never Built,,,,,,,,
D1,Jess Lawrence,"2600 E Hagert St, Philadelphia, PA 19125",8/12/2019,FALSE,,FALSE,9,0,Unknown,Street view construciton as of 03/2023,,,,,,,
D1,SEPTA,"2781 Kensington Ave, Philadelphia, PA 19134",3/11/2019,FALSE,,FALSE,3,0,Unknown,Street view no progress as of 03/2023. Loop racks on plans,,,,,,,
D3,American Campus Communities,"3301 Arch St, Philadelphia, PA 19104",1/21/19,FALSE,,FALSE,11,11,Operational,Inverted squared U staple,,,,,,,
D1/Northern Liberties,Fairmount Street Partners L.P.,"700 N Delaware Ave, Philadelphia, PA 19123",6/15/2020,TRUE,10/13/2020,FALSE,7,0,Unknown,Latest Street View (2023) shows construction.,,,,,,,
D3/University City,"""Vacant Commercial Space""","4415 Chestnut St, Philadelphia, PA 19104",11/12/2020,TRUE,12/7/2020,TRUE,2,2,Operational,Inverted U. Developer on blueprints is Orens Development. Owner listed on property.phila.gov is 4415 Chestnut LLC.,,,,,,,
D2/Grays Ferry,Fitler Estates LLC,"2401 Washington Ave, Philadelphia, PA 19146",6/26/2020,TRUE,9/8/2020,FALSE,14,0,Unknown,Latest Street View (2019) is prior to approval.,,,,,,,
D2/South Philly,St. Rita's Place & Cascia Center,"1148 S Broad St, Philadelphia, PA 19146",1/21/2020,TRUE,6/3/2020,TRUE,4,1,Operational,"Plans show 4 racks: 1 bike rack on Broad, 2 racks on Ellsworth, and 1 next to parking behind building on Carlisle. Street View shows 1x 2-hump wave on Broad, 1x 2-hump wave on Ellsworth, and no recent views of Carlisle.",,,,,,,
D2/South Philly,St. Rita's Place & Cascia Center,"110 S Carlisle St, Philadelphia, PA, 19146",1/21/2020,TRUE,6/3/2020,TRUE,4,1,Operational,"Plans show 4 racks: 1 bike rack on Broad, 2 racks on Ellsworth, and 1 next to parking behind building on Carlisle. Street View shows 1x 2-hump wave on Broad, 1x 2-hump wave on Ellsworth, and no recent views of Carlisle.",,,,,,,
D2/South Philly,St. Rita's Place & Cascia Center,"1400 Ellsworth St, Philadelphia, PA 19146",1/21/2020,TRUE,6/3/2020,TRUE,4,2,Operational,"Plans show 4 racks: 1 bike rack on Broad, 2 racks on Ellsworth, and 1 next to parking behind building on Carlisle. Street View shows 1x 2-hump wave on Broad, 1x 2-hump wave on Ellsworth, and no recent views of Carlisle.",,,,,,,
D3/West Philly,Post 4701 Pine St LP,"4701 Pine St, Philadelphia, PA 19143",12/11/2020,FALSE,N/A,FALSE,8,0,Never Built,"No approval stamp on plans. 8 slanted lines on Pine St (group of 7 and 1 lone, on either side of garage entry on Pine St) that I assume are meant to be bike racks but are not specifically marked as such. Latest Street View (Apr 2024) shows construction on façade but no evidence of any bike racks.",,,,,,,
D5/North Philly,510 Broad Partners LLC,"510 N Broad St, Philadelphia, PA 19130",3/10/2020,FALSE,N/A,TRUE,6,6,Operational,Inverted U. Outside Giant grocery store.,,,,,,,
D1/Fishtown,"""Proposed Residential Building""","1130 N Delaware Ave, Philadelphia, PA 19125",1/22/20,TRUE,3/26/2020,FALSE,13,0,Unknown,Neither building nor racks show on Street View as of Apr 2022,,,,,,,
D2/Rittenhouse,Southern Land Company,"1620 Sansom St, Philadelphia, PA 19103",8/5/2020,FALSE,N/A,FALSE,2,0,Unknown,No approval stamp on plans. Unknown whether built; latest Street View is Nov 2020,,,,,,,
D7/East Kensington,"Spanish Capital Investments 8, LLC","1510 N Randolph St, Philadelphia, PA 19122",12/19/2019,TRUE,2/10/2020,FALSE,8,0,Unknown,Unknown whether built; latest Street View is Aug 2019,,,,,,,
D9/Callowhill,Elk Street Management,"545 N Broad St, Philadelphia, PA 19123",6/17/2020,TRUE,7/17/20,TRUE,7,7,Operational,,,,,,,,
D1/South Philly,South Philly Food Co-op,"2031 S Juniper St, Philadelphia, PA 19148",10/1/2020,TRUE,11/9/2020,FALSE,1,0,Unknown,Unknown whether built; latest Street View is Oct 2019,,,,,,,
D8/North Philly,10 North Station,"2932 N Broad St, Philadelphia, PA 19132",8/25/2020,TRUE,10/1/2020,FALSE,30,0,Never Built,This was part of a plan to redevelop the area around Amtrak's North Philly station. Never happened.,,,,,,,
D5/Logan Square,Exeter Property Group,"1701 Race St, Philadelphia, PA, 19103",6/2/2020,TRUE,8/21/2020,TRUE,6,6,Operational,,,,,,,,
D7/East Kensington,Northern Star Development Corporation,"175 W Oxford St, Philadelphia, PA 19122",10/14/2020,TRUE,11/24/2020,FALSE,9,0,Unknown,Unknown whether built; latest Street View is Aug 2019,,,,,,,
D5/Rittenhouse,PMC Property Group,"33 N 22nd St, Philadelphia, PA 19103",9/25/2020,FALSE,N/A,FALSE,8,0,Never Built,Application form unsigned. This is the building that was supposed to go into where the parking lot for Trader Joe's is.,,,,,,,
D1/Northern Liberties,Poplar Delaware Development,"918 N Delaware Ave, Philadelphia, PA 19123",8/3/2020,TRUE,7/19/2021,FALSE,17,0,Never Built,Currently under construction - building apparently has total 180 resident bike stalls!,,,,,,,
D2/Rittenhouse,"""Proposed Office BUilding""","2222 Market St, Philadelphia, PA 19103",1/29/2020,FALSE,N/A,FALSE,10,9,Operational,10 bike racks on plans; 9 bike racks on Street View. No approval stamp on plans. ,,,,,,,
D5/Callowhill,N/A,"1200 Ridge Ave, Philadelphia, PA 19123",8/31/2020,TRUE,9/9/2020,FALSE,3,0,Never Built,Currently under construction ,,,,,,,
D5/North Philly,"Sharswood Partners, LLC","2051 Ridge Ave, Philadelphia, PA 19121",1/20/2020,FALSE,N/A,TRUE,4,4,Operational,Plans are low-res and hard to read. 4 racks seen on Street View. No approval stamp.,,,,,,,
D8/Mount Airy,"BGSP, LP","360 W Mt Pleasant Ave, Philadelphia, PA 19119",7/3/2020,TRUE,2/26/2021,FALSE,4,0,Never Built,Neither building nor racks show on Street View as of Jun 2024,,,,,,,
D1/Old City,300 columbus llc,"300 N Christopher Columbus Blvd, Philadelphia, PA 19106",8/6/2021,TRUE,10/14/2021,FALSE,18,0,Never Built,"maybe if the project proceeds these will be built, nothing so far",,,,,,,
D5/Poplar,601 Chestach LLC,"601 Spring Garden St, Philadelphia, PA 19123",5/19/2020,TRUE,4/16/2021,TRUE,10,2,Operational,"10 proposed, 2 built",,,,,,,
D1/Northern Liberties,Northern Liberties Nieghboors Association,"700 N 3rd St, Philadelphia, PA 19123",9/25/2020,TRUE,4/27/2021,TRUE,4,1,Operational,"4 proposed, 1 built",,,,,,,
D1/Center City,PPA,"701 Market St, Philadelphia, PA 19106",7/16/2018,FALSE,,FALSE,0,0,Unknown,"not an application, but a withrawl of application, racks built outside of ROW",,,,,,,
D5/Olde Kensignton,Middle Child Clubhouse,"1232 N Front St, Philadelphia, PA 19122",3/3/2021,TRUE,4/27/2021,FALSE,9,0,Never Built,"would have been great to have these, not sure what happened",,,,,,,
D5/Francisville,Muse Yoga and Fitness,"1513 Ridge Ave, Philadelphia, PA 19130",6/14/2021,FALSE,,TRUE,3,3,Operational,good condition! yay,,,,,,,
D1/Center City,Bailey Chestnut Partners,"1218 Chestnut St, Philadelphia, PA 19107",5/13/21,TRUE,5/26/2021,TRUE,5,5,Operational,"very heavily used, quickly approved",,,,,,,
D7,Monarch Yoga,"171 W Berks St, Philadelphia, PA 19122",3/24/2022,FALSE,,TRUE,7,7,Operational,Some racks shown on plans spotted on street view 03/2023,,,,,,,
D5,Fishtown Neighbors Assn - Rose Garden,"1401 Frankford Ave, Philadelphia, PA 19125",12/3/2021,FALSE,,TRUE,5,5,Operational,Staple racks shown on plan. Ring and post racks shown on street view 03/2023,,,,,,,
D7,Laura Barron,"1749 N Hancock St, Philadelphia, PA 19122",6/14/2021,FALSE,,FALSE,1,0,Unknown,Appears to be a private house. No recent street view,,,,,,,
D2,OCF Coffee House,"2001 Federal St, Philadelphia, PA 19146",6/20/2022,FALSE,,FALSE,5,0,Unknown,Racks shown on intersecting S 20th St. No recent street view,,,,,,,
D1,Modern Development Group,"2534 Emerald St, Philadelphia, PA 19125",6/13/2022,FALSE,,FALSE,2,0,Unknown,Appears to be a private house. Racks shown on intersecting Sergeant St. No recent street view.,,,,,,,
D8,Germantown United CDC/Maplewood Mall,"2 W Armat St, Philadelphia, PA 19144",8/28/2023,FALSE,,FALSE,5,0,Unknown,Not on street view as of 03/2023,,,,,,,
D1,Core Realty/Philadelphia Distilling,"25 E Allen St, Philadelphia, PA 19123",5/12/2023,FALSE,,FALSE,10,0,Unknown,Not on street view as of 03/2023,,,,,,,
D8,Germantown United CDC/Maplewood Mall,"99 W Armat St, Philadelphia, PA 19144",8/28/2023,FALSE,,FALSE,2,0,Unknown,Not on street view as of 03/2023,,,,,,,
D1,SUPI Schmidt's LLC,"180 W Girard Ave, Philadelphia, PA 19123",8/26/2022,FALSE,,FALSE,6,0,Unknown,Not on street view as of 03/2023,,,,,,,
D8,Germantown Development Association LLC,"322 W Chelten Ave, Philadelphia, PA 19144",2/17/2022,FALSE,,FALSE,1,0,Unknown,Last street view 09/2019,,,,,,,
D1,Core Realty/Brooklyn Bowl,"1009 Canal St, Philadelphia, PA 19123",5/12/2023,FALSE,,FALSE,12,0,Unknown,Last street view 03/2019,,,,,,,
D5,Alexander Adaire K-8 School,"1300 E Palmer St, Philadelphia, PA 19125",2/20/2023,FALSE,,FALSE,4,0,Unknown,Not on street view as of 03/2023,,,,,,,
D5/D7,Six Acre Capital,"1525 N American St, Philadelphia, PA 19122",3/11/2023,FALSE,,FALSE,4,0,Unknown,Construction shown on street view as of 08/2023,,,,,,,
D5,Temple University,"1835 N 12th St, Philadelphia, PA 19122",10/14/2022,FALSE,,FALSE,12,0,Unknown,Last street view 07/2022,,,,,,,
D1,The Philadelphia Barber Co,"2414 Frankford Ave, Philadelphia, PA 19125",3/17/2023,FALSE,,FALSE,1,0,Unknown,Last street view 03/2023,,,,,,,
D1,Ruth Street Civic House,"2721 Ruth St, Philadelphia, PA 19134",7/5/2023,FALSE,,FALSE,4,0,Unknown,Last street view 03/2023,,,,,,,
D3,"Brandywine 3025 JFK, LP","3025 John F Kennedy Blvd, Philadelphia, PA 19104",5/17/2023,FALSE,,TRUE,10,10,Operational,Inverted V staples,,,,,,,
D4,Vault + Vine,"3507 Midvale Ave, Philadelphia, PA 19129",4/30/2023,FALSE,,FALSE,2,0,Unknown,Last street view 11/2020,,,,,,,
D4,Taqueria Cresta,"3743 Midvale Ave, Philadelphia, PA 19129",6/13/2023,FALSE,,FALSE,1,0,Unknown,Last street view 11/2020,,,,,,,
D4,Inn Yard Park,"4241 Ridge Ave, Philadelphia, PA 19129",4/30/2023,FALSE,,FALSE,3,0,Unknown,Last street view 11/2023,,,,,,,
D8,Hansberry Garden & Nature Center Inc,"5150 Wayne Ave, Philadelphia, PA 19144",2/28/2022,FALSE,,FALSE,4,0,Unknown,Not on street view as of 10/2024,,,,,,,
D8,Stan Smith,"5223 Germantown Ave, Philadelphia, PA 19144",2/17/2022,FALSE,,FALSE,2,0,Unknown,Not on street view as of 04/2023,,,,,,,
D8,Uncle Bobbies Books,"5445 Germantown Ave, Philadelphia, PA 19144",4/11/2022,FALSE,,FALSE,1,0,Unknown,Not on street view as of 03/2023,,,,,,,
D8,Ultimo Coffee,"5901 Wayne Ave, Philadelphia, PA 19144",,FALSE,,FALSE,6,0,Unknown,Not on street view as of 10/2023,,,,,,,
D4,Good Shepherd Senior Housing,"6400 Lansdowne Ave, Philadelphia, PA 19151",11/7/2023,FALSE,,FALSE,3,0,Unknown,Construction shown on street view as of 08/2024,,,,,,,
D3/University City,NA,"3700 Spruce St, Philadelphia, PA 19104",NA,FALSE,NA,FALSE,8,0,Unknown,"SEPTA trolley station at 37th, 8 planned on westbound side. No application doc. No approval stamp. Not on Street View.",,,,,,,
D8/Mount Airy,Mt Airy Playground Advisory Council,"7001 Germantown Ave, Philadelphia, PA 19119",3/26/2024,FALSE,NA,FALSE,5,0,Unknown,No approval stamp.,,,,,,,
D8/Mount Airy,Our Kingdom,"6730 Germantown Ave, Philadelphia, PA 19119",1/12/2024,FALSE,NA,FALSE,1,0,Unknown,No approval stamp.,,,,,,,
D8/Mount Airy,SEPTA,"6721 Germantown Ave, Philadelphia, PA 19119",2/23/2024,FALSE,NA,FALSE,4,0,Unknown,Trolley car park. No approval stamp.,,,,,,,
D3/West Philly,African Cultural Alliance of North America,"5530 Chester Ave, Philadelphia, PA 19143",10/26/2023,FALSE,NA,FALSE,1,0,Unknown,No approval stamp.,,,,,,,
D3/University City,CHOP,"3500 Civic Center Blvd, Philadelphia, PA 19104",NA,FALSE,NA,FALSE,36,0,Unknown,Application signed but undated. No approval stamp.,,,,,,,
D3/University City,NA,"3151 Market St, Philadelphia, PA 19104",NA,FALSE,NA,FALSE,5,0,Unknown,Application signed but undated. No approval stamp.,,,,,,,
D5/Center City,NA,"1400 Arch St, Philadelphia, PA 19107",NA,FALSE,NA,FALSE,24,0,Unknown,Paine Plaza. Application signed but undated. No approval stamp.,,,,,,,
D8/Germantown,NA,"6320 Germantown Ave, Philadelphia, PA 19144",1/24/2024,FALSE,NA,FALSE,3,0,Unknown,No approval stamp.,,,,,,,
D8/Germantown,Young American Hard Cider,"6344 Germantown Ave, Philadelphia, PA 19144",1/25/2024,FALSE,NA,FALSE,3,0,Unknown,No approval stamp.,,,,,,,
D8/Mount Airy,Pelham Pocket Park,"6732 Germantown Ave, Philadelphia, PA 19119",1/12/2024,FALSE,NA,FALSE,1,0,Unknown,No approval stamp.,,,,,,,
D7/Fishtown,Philadelphia Parks & Recreation,"1800 Blair St, Philadelphia, PA 19125",9/5/2023,FALSE,NA,FALSE,11,0,Unknown,Shissler Rec. No approval stamp.,,,,,,,
D7/Fishtown,NA,"5001 Frankford Ave, Philadelphia, PA 19124",NA,FALSE,NA,FALSE,5,0,Unknown,Application signed but undated. No approval stamp.,,,,,,,
D8/Germantown,NA,"6316 Germantown Ave, Philadelphia, PA 19144",1/24/24,FALSE,NA,FALSE,2,0,Unknown,No approval stamp. Business name on application left blank.,,,,,,,
D8/Mount Airy,NA,"6614 Germantown Ave, Philadelphia, PA 19119",2/26/24,FALSE,NA,FALSE,1,0,Unknown,"Files named ""Winnites Bike Repair"" but business name on application left blank. No approval stamp.",,,,,,,
D1/Fishtown,Fishtown Dentistry,"244 E Girard Ave, Philadelphia, PA 19125",2/10/24,FALSE,NA,FALSE,2,0,Unknown,No approval stamp.,,,,,,,
D3/West Philly,3935 Ogden St,"3900 Ogden St, Philadelphia, PA 19104",6/18/24,FALSE,NA,FALSE,10,0,Unknown,No approval stamp.,,,,,,,
D6/Port Richmond,"M/K Amy James Martin School JV, LLC","3350 Richmond St, Philadelphia, PA 19134",2/20/24,FALSE,NA,FALSE,6,0,Unknown,No approval stamp.,,,,,,,
,,,,,,,,826,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,826,,,,,,,,,,,
